sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",12,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1200001,2,0,AI_RANDOM,0.18,52,48,20
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",12,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1200001,0,1,AI_RANDOM,0.14,50,50,20
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",12,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1200001,1,2,AI_RANDOM,-0.16,55,45,20
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",13,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1600001,2,2,AI_RANDOM,0.38,81,59,28
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",13,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1600001,0,0,AI_RANDOM,0.72,76,64,28
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",13,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1600001,1,1,AI_RANDOM,0.65,74,66,28
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",14,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.07000005,0,2,AI_RANDOM,-0.26,40,50,18
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",14,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.07000005,2,0,AI_RANDOM,0.36,56,34,18
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",14,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.07000005,1,1,AI_RANDOM,0.19,36,54,18
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",15,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.009999961,0,1,AI_RANDOM,0.12,10,15,5
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",15,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.009999961,1,2,AI_RANDOM,0.06,12,13,5
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",15,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.009999961,2,0,AI_RANDOM,0.12,14,11,5
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",16,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.3099998,1,2,AI_RANDOM,-0.37,29,26,11
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",16,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.3099998,2,1,AI_RANDOM,0.01000001,30,25,11
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",16,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.3099998,0,0,AI_RANDOM,0.73,35,20,11
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",17,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1200042,1,2,AI_RANDOM,-1.14,351,344,139
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",17,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1200042,2,1,AI_RANDOM,-0.2999997,351,344,139
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",17,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1200042,0,0,AI_RANDOM,0.9800003,356,339,139
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",18,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.28,0,0,AI_RANDOM,0.37,10,0,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",18,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.28,1,1,AI_RANDOM,0.15,8,2,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",18,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.28,2,2,AI_RANDOM,0.14,6,4,2
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",19,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.09000054,2,1,AI_RANDOM,-0.11,146,154,60
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",19,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.09000054,1,0,AI_RANDOM,0.6599999,167,133,60
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",19,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.09000054,0,2,AI_RANDOM,-0.6999999,135,165,60
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",20,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.08000001,0,2,AI_RANDOM,-0.35,9,16,5
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",20,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.08000001,1,0,AI_RANDOM,0.09,16,9,5
"211816EEU['RANDOM', 'RANDOM', 'RANDOM']",20,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.08000001,2,1,AI_RANDOM,-0.04000001,14,11,5
