currSessionId,currGameId,currGameRoundId,Name,playerId,playerType,amountEnv,amountEcon
241531OVI2Coop1Rand,13,2,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,13,2,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,13,2,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,13,3,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,13,3,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,13,3,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,14,0,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,14,0,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,14,0,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,14,1,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,14,1,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,14,1,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,15,0,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,15,0,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,15,0,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,15,1,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,15,1,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,15,1,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,16,0,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,16,0,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,16,0,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,16,1,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,16,1,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,16,1,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,16,2,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,16,2,,1,AIPlayerRandom,5,0
241531OVI2Coop1Rand,16,2,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,16,3,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,16,3,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,16,3,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,17,0,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,17,0,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,17,0,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,18,0,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,18,0,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,18,0,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,19,0,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,19,0,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,19,0,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,20,0,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,20,0,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,20,0,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,21,0,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,21,1,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,21,0,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,21,0,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,21,1,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,21,1,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,22,0,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,22,0,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,22,0,,1,AIPlayerRandom,5,0
241531OVI2Coop1Rand,22,1,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,22,1,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,22,1,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,23,0,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,23,0,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,23,0,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,23,1,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,23,1,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,23,1,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,23,2,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,23,2,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,23,2,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,23,3,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,23,3,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,23,3,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,24,0,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,24,0,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,24,0,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,24,1,,1,AIPlayerRandom,5,0
241531OVI2Coop1Rand,24,1,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,24,1,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,24,2,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,24,2,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,24,2,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,24,3,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,24,3,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,24,3,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,25,0,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,25,0,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,25,0,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,26,0,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,26,0,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,26,0,,1,AIPlayerRandom,4,1
