sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"132307FLO['CC', 'CC', 'CI']",1,3,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.47,0.01999998,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,10,10,Fear,9.12,0.00,3.53,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,3.70,0.00,0.00,0.00,0.00,-7.79
"132307FLO['CC', 'CC', 'CI']",1,4,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.5500001,0.3,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,17,8,Hope,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,9.12,0.00,0.00,0.00,0.00,9.66
"132307FLO['CC', 'CC', 'CI']",1,5,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.6600001,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,10,20,Fear,9.12,0.00,4.35,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,-9.66
"132307FLO['CC', 'CC', 'CI']",1,5,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.6600001,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,7,23,Fear,9.12,0.00,4.35,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,-9.66
"132307FLO['CC', 'CC', 'CI']",1,5,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.6600001,0.35,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,22,8,Hope,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,9.12,0.00,0.00,0.00,0.00,9.66
"132307FLO['CC', 'CC', 'CI']",1,6,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.72,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,10,25,Fear,9.12,0.00,4.35,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,-9.66
"132307FLO['CC', 'CC', 'CI']",1,6,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.72,0.3800001,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,26,9,Hope,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,9.12,0.00,0.00,0.00,0.00,9.66
"132307FLO['CC', 'CC', 'CI']",1,6,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.72,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,7,28,Fear,9.12,0.00,4.35,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,-9.66
"132307FLO['CC', 'CC', 'CI']",1,7,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.7200001,0.4200001,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,30,10,Hope,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.07,9.12,0.00,0.00,0.00,0.00,9.66
"132307FLO['CC', 'CC', 'CI']",1,7,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.7200001,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,10,30,Fear,9.12,0.00,4.35,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,-9.66
"132307FLO['CC', 'CC', 'CI']",1,7,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.7200001,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,8,32,Fear,9.12,0.00,4.35,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,-9.66
