sessionId,currGameId,condition,outcome,env_state,playerId_0_pos,playerId_0_type,playerId_0_econ_state,playerId_0_econ_history_perc,playerId_0_env_history_perc,playerId_1_pos,playerId_1_type,playerId_1_econ_state,playerId_1_econ_history_perc,playerId_1_env_history_perc,playerId_2_pos,playerId_2_type,playerId_2_econ_state,playerId_2_econ_history_perc,playerId_2_env_history_perc
"042038KKZ['CC', 'CC', 'CI']",1794,"['CC', 'DC', 'DC']",VICTORY,1,0,Competitive,0,0,1,1,Cooperative,0,0.05,0.95,2,Cooperative,0,0,1
"042038KKZ['CC', 'CC', 'CI']",1795,"['CC', 'DC', 'DI']",VICTORY,0.99,2,Competitive,0,0,1,1,Cooperative,0,0.05,0.95,0,Cooperative,0.1,0.25,0.75
"042038KKZ['CC', 'CC', 'CI']",1796,"['CC', 'DC', 'RANDOM']",VICTORY,0.78,2,Competitive,0,0.1,0.9,1,Cooperative,0,0,1,0,AIPlayerRandom,0.41,0.85,0.15
"042038KKZ['CC', 'CC', 'CI']",1797,"['CC', 'DI', 'DI']",VICTORY,0.38,2,Competitive,0,0,1,0,Cooperative,0.22,0.4,0.6,1,Cooperative,0.16,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1798,"['CC', 'DI', 'RANDOM']",VICTORY,0.47,2,Competitive,0,0.05,0.95,1,Cooperative,0.14,0.3,0.7,0,AIPlayerRandom,0.22,0.6,0.4
"042038KKZ['CC', 'CC', 'CI']",1799,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.27,2,Competitive,0,0.1,0.9,1,AIPlayerRandom,0.23,0.55,0.45,0,AIPlayerRandom,0.26,0.6,0.4
"042038KKZ['CC', 'CC', 'CI']",1800,"['CI', 'CI', 'CI']",VICTORY,0.1,1,Competitive,0.27,0.6,0.4,0,Competitive,0.2900001,0.55,0.45,2,Competitive,0.13,0.55,0.45
"042038KKZ['CC', 'CC', 'CI']",1801,"['CI', 'CI', 'DC']",VICTORY,0.7399999,1,Competitive,0.03999999,0.4,0.6,0,Competitive,0.3,0.55,0.45,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",1802,"['CI', 'CI', 'DI']",VICTORY,0.19,0,Competitive,0.24,0.55,0.45,2,Competitive,0.15,0.55,0.45,1,Cooperative,0.17,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1803,"['CI', 'CI', 'RANDOM']",LOSS,0.01000002,1,Competitive,0.16,0.5,0.5,0,Competitive,0.16,0.65,0.35,2,AIPlayerRandom,0.05999999,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1804,"['CI', 'DC', 'DC']",VICTORY,0.92,0,Competitive,0.17,0.35,0.65,1,Cooperative,0,0.05,0.95,2,Cooperative,0,0.1,0.9
"042038KKZ['CC', 'CC', 'CI']",1805,"['CI', 'DC', 'DI']",VICTORY,0.4399999,0,Competitive,0.32,0.5,0.5,2,Cooperative,0.02,0.1,0.9,1,Cooperative,0.13,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1806,"['CI', 'DC', 'RANDOM']",VICTORY,0.57,1,Competitive,0.09999999,0.35,0.65,2,Cooperative,0,0.05,0.95,0,AIPlayerRandom,0.22,0.55,0.45
"042038KKZ['CC', 'CC', 'CI']",1807,"['CI', 'DI', 'DI']",VICTORY,0.42,2,Competitive,0.05,0.35,0.65,0,Cooperative,0.07,0.35,0.65,1,Cooperative,0.07,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1808,"['CI', 'DI', 'RANDOM']",VICTORY,0.5299999,1,Competitive,0.09999999,0.35,0.65,2,Cooperative,0,0.1,0.9,0,AIPlayerRandom,0.18,0.5,0.5
"042038KKZ['CC', 'CC', 'CI']",1809,"['CI', 'RANDOM', 'RANDOM']",VICTORY,0.21,2,Competitive,0,0.25,0.75,1,AIPlayerRandom,0.009999998,0.5,0.5,0,AIPlayerRandom,0.09999999,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1810,"['DC', 'DC', 'DC']",VICTORY,1,0,Cooperative,0,0.05,0.95,1,Cooperative,0,0.05,0.95,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",1811,"['DC', 'DC', 'DI']",VICTORY,0.9400001,2,Cooperative,0,0,1,1,Cooperative,0,0.1,0.9,0,Cooperative,0.05999999,0.25,0.75
"042038KKZ['CC', 'CC', 'CI']",1812,"['DC', 'DC', 'RANDOM']",VICTORY,0.88,2,Cooperative,0,0,1,1,Cooperative,0,0.05,0.95,0,AIPlayerRandom,0.25,0.55,0.45
"042038KKZ['CC', 'CC', 'CI']",1813,"['DC', 'DI', 'DI']",VICTORY,0.53,2,Cooperative,0,0.05,0.95,1,Cooperative,0.09,0.3,0.7,0,Cooperative,0.16,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1814,"['DC', 'DI', 'RANDOM']",VICTORY,0.5200001,2,Cooperative,0,0.1,0.9,1,Cooperative,0.13,0.4,0.6,0,AIPlayerRandom,0.19,0.55,0.45
"042038KKZ['CC', 'CC', 'CI']",1815,"['DC', 'RANDOM', 'RANDOM']",VICTORY,0.48,2,Cooperative,0,0,1,1,AIPlayerRandom,0.17,0.4,0.6,0,AIPlayerRandom,0.2,0.55,0.45
"042038KKZ['CC', 'CC', 'CI']",1816,"['DI', 'DI', 'DI']",VICTORY,0.11,2,Cooperative,0.2,0.45,0.55,0,Cooperative,0.31,0.55,0.45,1,Cooperative,0.3,0.65,0.35
"042038KKZ['CC', 'CC', 'CI']",1817,"['DI', 'DI', 'RANDOM']",VICTORY,0.39,0,Cooperative,0.22,0.35,0.65,2,Cooperative,0.09,0.35,0.65,1,AIPlayerRandom,0.12,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1818,"['DI', 'RANDOM', 'RANDOM']",VICTORY,0.16,2,Cooperative,0.12,0.2,0.8,0,AIPlayerRandom,0.23,0.4,0.6,1,AIPlayerRandom,0.2,0.7,0.3
"042038KKZ['CC', 'CC', 'CI']",1819,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,0.09000005,1,AIPlayerRandom,0.18,0.5,0.5,2,AIPlayerRandom,0.04,0.5,0.5,0,AIPlayerRandom,0.22,0.6,0.4
"042038KKZ['CC', 'CC', 'CI']",1820,"['CC', 'CC', 'CC']",VICTORY,0.9999999,0,Competitive,0,0.05,0.95,1,Competitive,0,0,1,2,Competitive,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",1821,"['CC', 'CC', 'CI']",VICTORY,0.5899999,1,Competitive,0.02999999,0.1,0.9,2,Competitive,0,0.15,0.85,0,Competitive,0.05,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1822,"['CC', 'CC', 'DC']",VICTORY,0.95,0,Competitive,0,0.05,0.95,1,Competitive,0,0,1,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",1823,"['CC', 'CC', 'DI']",VICTORY,1,2,Competitive,0,0,1,1,Competitive,0,0.1,0.9,0,Cooperative,0.06,0.3,0.7
"042038KKZ['CC', 'CC', 'CI']",1824,"['CC', 'CC', 'RANDOM']",VICTORY,0.94,2,Competitive,0,0.05,0.95,1,Competitive,0,0,1,0,AIPlayerRandom,0.04000001,0.2,0.8
