sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"151153NAR['CC', 'CC', 'CI']",1,4,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.43,0.07999999,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,14,11,Reproach,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.00,0.00,-2.21
"151153NAR['CC', 'CC', 'CI']",1,5,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.32,0.16,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,14,16,Reproach,2.21,0.00,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,-2.46
"151153NAR['CC', 'CC', 'CI']",1,5,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.32,0.09,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,17,13,Reproach,2.21,0.00,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,-2.46
"151153NAR['CC', 'CC', 'CI']",1,3,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.46,0.11,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,9,11,Reproach,2.09,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.00,0.00,0.00,0.00,-1.99
"151153NAR['CC', 'CC', 'CI']",1,4,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.43,0.13,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,11,14,Reproach,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.00,0.00,-2.21
"151153NAR['CC', 'CC', 'CI']",1,4,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.43,0.25,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,16,9,Admiration,3.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.06,0.00,0.00,0.00,2.69,1.70,0.00,0.00,0.00,0.00,5.88
"151153NAR['CC', 'CC', 'CI']",1,5,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.32,0.34,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,20,10,Admiration,3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.55,0.00,0.00,0.00,3.13,2.28,0.00,0.00,0.00,0.00,7.87
"151153NAR['CC', 'CC', 'CI']",1,6,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.29,0.41,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,25,10,Admiration,4.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.11,0.00,0.00,0.00,3.63,2.80,0.00,0.00,0.00,0.00,9.66
"151153NAR['CC', 'CC', 'CI']",1,6,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.29,0.02,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,19,16,Reproach,2.28,0.00,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,0.00,-2.75
"151153NAR['CC', 'CC', 'CI']",1,6,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.29,0.13,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,17,18,Reproach,2.28,0.00,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,0.00,-2.75
"151153NAR['CC', 'CC', 'CI']",1,7,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.21,0.49,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,30,10,Admiration,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"151153NAR['CC', 'CC', 'CI']",1,7,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.21,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,21,19,Reproach,2.36,0.00,2.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,-3.07
"151153NAR['CC', 'CC', 'CI']",1,7,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.21,0.04,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,18,22,Reproach,2.36,0.00,2.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,-3.07
"151153NAR['CC', 'CC', 'CI']",1,8,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.07999998,0.08,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,20,25,Reproach,2.45,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,-3.44
"151153NAR['CC', 'CC', 'CI']",1,9,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.00999999,0.71,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,40,10,Admiration,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
