currSessionId,currGameId,currGameCondition,currGameRoundId,currGamePhase,playerId,playerType,mood
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",29,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",30,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-9.55
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",31,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-9.55
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",31,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-9.55
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",31,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",32,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-9.55
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",32,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-9.55
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",32,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",33,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-9.55
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",33,
