sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",12,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.05000028,2,0,AI_RANDOM,0.94,115,110,45
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",13,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,5.960464E-08,1,2,AI_RANDOM,-0.26,8,17,5
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",13,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,5.960464E-08,2,1,AI_RANDOM,-0.16,14,11,5
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",13,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,5.960464E-08,0,0,AI_RANDOM,0.19,16,9,5
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",14,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.01000008,1,0,AI_RANDOM,0.47,39,36,15
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",15,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-1.043081E-07,0,1,AI_RANDOM,-0.11,18,27,9
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",15,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-1.043081E-07,1,0,AI_RANDOM,0.27,36,9,9
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",15,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-1.043081E-07,2,2,AI_RANDOM,-0.36,16,29,9
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",16,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.32,0,1,AI_RANDOM,0.18,10,0,2
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",16,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.32,1,2,AI_RANDOM,0.17,5,5,2
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",16,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.32,2,0,AI_RANDOM,0.2,7,3,2
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",17,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.04000014,2,0,AI_RANDOM,0.6,48,32,16
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",17,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.04000014,0,1,AI_RANDOM,0.02000003,32,48,16
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",17,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.04000014,1,2,AI_RANDOM,-0.35,29,51,16
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",18,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,2.37,0,1,AI_RANDOM,0.09,122,133,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",18,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,2.37,1,2,AI_RANDOM,-0.4800001,126,129,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",18,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,2.37,2,0,AI_RANDOM,0.7400001,124,131,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",19,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,3.079997,1,2,AI_RANDOM,-0.4000003,129,126,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",19,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,3.079997,0,1,AI_RANDOM,-0.36,121,134,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",19,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,3.079997,2,0,AI_RANDOM,0.06000013,114,141,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",20,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,1.109999,0,0,AI_RANDOM,0.9999999,139,116,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",20,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,1.109999,1,1,AI_RANDOM,0.96,130,125,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",20,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,1.109999,2,2,AI_RANDOM,0.7800002,126,129,51
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",21,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1799999,0,0,AI_RANDOM,0.45,21,9,6
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",21,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1799999,1,2,AI_RANDOM,0.08000003,18,12,6
"191626PXA['RANDOM', 'RANDOM', 'RANDOM']",21,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,-0.1799999,2,1,AI_RANDOM,0.37,19,11,6
