sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerName,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,"mood"
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",1,4,1,"['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",NOT_FINISHED,0.06000006,0.06,BALANCED-DEFECTOR,AI-BALANCED-DEFECTOR,3,2,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",1,4,2,"['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",NOT_FINISHED,0.06000006,0.26,BALANCED-DEFECTOR,AI-BALANCED-DEFECTOR,3,2,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",1,5,0,"['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",LOSS,0,0.13,RANDOM_CMP_VS_DEF,AI-RANDOM,5,0,18,12,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",1,5,1,"['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",LOSS,0,0.06,BALANCED-DEFECTOR,AI-BALANCED-DEFECTOR,3,2,18,12,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",1,5,2,"['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",LOSS,0,0.3,BALANCED-DEFECTOR,AI-BALANCED-DEFECTOR,3,2,18,12,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,0,0,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.41,0.09999999,MCTS_VS_COOP,AI-MCTS,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,0,1,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.41,0.12,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,0,2,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.41,0.00999999,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,1,0,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.18,0.16,MCTS_VS_COOP,AI-MCTS,5,0,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,1,1,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.18,0.09999999,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
